Rk,G,Season,Age,Tm,Opp,W/L,GS,MP,MP1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
50,48,15-16,27-329,GSW,OKC,W (+8),1,37.42,37:42,10,26,0.385,1,9,0.111,5,5,1,1,5,6,10,3,0,3,2,26,20.2,3
51,49,15-16,27-332,GSW,HOU,W (+13),1,37.41,37:41,12,24,0.5,7,16,0.438,4,4,1,1,4,5,9,1,0,1,2,35,30.4,3
52,50,15-16,27-333,GSW,PHO,W (+8),1,30.06,30:06,9,17,0.529,5,10,0.5,3,4,0.75,5,4,9,9,1,1,2,1,26,27.6,12
53,51,15-16,27-342,GSW,POR,L (-32),1,26.18,26:18,12,23,0.522,7,13,0.538,0,0,,2,1,3,5,2,0,3,4,31,22.3,-18
54,52,15-16,27-343,GSW,LAC,W (+3),1,35.30,35:30,5,15,0.333,3,8,0.375,10,12,0.833,0,3,3,9,3,0,3,2,23,20.1,4
55,53,15-16,27-345,GSW,ATL,W (+10),1,35.48,35:48,14,22,0.636,5,11,0.455,3,3,1,1,5,6,8,3,0,2,2,36,34.2,13
56,54,15-16,27-347,GSW,MIA,W (+6),1,35.35,35:35,14,29,0.483,6,12,0.5,8,8,1,3,4,7,7,1,1,7,0,42,30.2,7
57,55,15-16,27-348,GSW,ORL,W (+16),1,34.02,34:02,20,27,0.741,10,15,0.667,1,1,1,0,7,7,8,0,1,5,1,51,43.1,11
58,56,15-16,27-350,GSW,OKC,W (+3),1,37.41,37:41,14,24,0.583,12,16,0.75,6,8,0.75,0,3,3,6,2,0,3,1,46,37.7,6
59,,15-16,27-353,GSW,ATL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,57,15-16,27-355,GSW,OKC,W (+15),1,37.11,37:11,12,25,0.48,5,15,0.333,4,5,0.8,1,3,4,4,1,1,1,2,33,24.2,6
61,58,15-16,27-358,GSW,LAL,L (-17),1,34.17,34:17,6,20,0.3,1,10,0.1,5,5,1,1,5,6,4,1,0,4,2,18,7.6,-8
62,59,15-16,27-359,GSW,ORL,W (+6),1,37.20,37:20,14,24,0.583,7,13,0.538,6,6,1,1,12,13,3,4,0,5,3,41,34,21
63,60,15-16,27-361,GSW,UTA,W (+21),1,31.31,31:31,4,12,0.333,3,9,0.333,1,2,0.5,0,3,3,10,3,0,3,2,12,11.9,12
64,61,15-16,27-363,GSW,POR,W (+16),1,29.26,29:26,13,23,0.565,7,14,0.5,1,2,0.5,0,3,3,4,2,0,3,2,34,24.6,14
65,62,15-16,27-364,GSW,PHO,W (+7),1,34.59,34:59,12,24,0.5,7,16,0.438,4,4,1,1,2,3,6,0,0,1,4,35,25.9,19
66,63,15-16,28-000,GSW,NOP,W (+18),1,31.18,31:18,10,16,0.625,4,9,0.444,3,4,0.75,1,4,5,5,2,0,1,1,27,25.4,27
67,64,15-16,28-002,GSW,NYK,W (+36),1,28.21,28:21,12,20,0.6,8,13,0.615,2,2,1,0,6,6,4,0,0,2,2,34,26.6,31
68,65,15-16,28-004,GSW,DAL,W (+18),1,34.19,34:19,12,26,0.462,6,12,0.5,1,1,1,1,8,9,10,2,0,1,2,31,27.9,8
69,66,15-16,28-005,GSW,SAS,L (-8),1,37.36,37:36,4,18,0.222,1,12,0.083,5,5,1,2,4,6,6,2,0,2,0,14,9.8,-10
70,67,15-16,28-007,GSW,MIN,W (+5),1,34.50,34:50,6,17,0.353,2,9,0.222,5,6,0.833,3,4,7,11,3,1,5,4,19,17.2,0
71,68,15-16,28-009,GSW,LAC,W (+16),1,37.26,37:26,12,23,0.522,4,10,0.4,5,6,0.833,0,4,4,5,3,0,1,3,33,26.8,4
72,69,15-16,28-011,GSW,DAL,W (+8),1,35.11,35:11,9,18,0.5,5,12,0.417,10,11,0.909,0,8,8,8,4,0,3,0,33,32.6,15
73,70,15-16,28-013,GSW,PHI,W (+12),1,33.12,33:12,7,16,0.438,2,9,0.222,4,5,0.8,0,3,3,8,4,0,4,0,20,17.7,4
74,71,15-16,28-015,GSW,WAS,W (+8),1,34.42,34:42,9,20,0.45,6,8,0.75,2,2,1,0,7,7,7,5,0,5,3,26,21.4,15
75,72,15-16,28-016,GSW,UTA,W (+7),1,42.16,42:16,11,23,0.478,5,10,0.5,4,5,0.8,2,5,7,4,2,0,5,4,31,20,6
76,73,15-16,28-018,GSW,BOS,L (-3),1,36.37,36:37,9,19,0.474,8,14,0.571,3,3,1,0,5,5,6,1,0,9,2,29,16.2,-1
77,74,15-16,28-020,GSW,POR,W (+25),1,34.35,34:35,13,21,0.619,9,13,0.692,4,4,1,2,4,6,7,2,1,4,2,39,34.9,16
78,75,15-16,28-022,GSW,MIN,L (-7),1,42.35,42:35,7,25,0.28,4,14,0.286,3,3,1,2,4,6,15,3,0,3,4,21,17.8,3
79,76,15-16,28-024,GSW,SAS,W (+11),1,36.17,36:17,11,19,0.579,3,7,0.429,2,2,1,0,5,5,9,2,0,3,2,27,24.1,14
80,77,15-16,28-026,GSW,MEM,W (+1),1,33.59,33:59,7,22,0.318,3,14,0.214,0,0,,0,9,9,8,1,0,2,1,17,11.3,10
81,78,15-16,28-027,GSW,SAS,W (+6),1,35.22,35:22,13,22,0.591,4,9,0.444,7,7,1,0,5,5,5,2,0,4,4,37,28.2,7
82,79,15-16,28-030,GSW,MEM,W (+21),1,29.46,29:46,15,24,0.625,10,19,0.526,6,6,1,1,3,4,6,2,0,2,2,46,40.2,19
1,1,16-17,28-225,GSW,SAS,L (-29),1,34.06,34:06,9,18,0.5,3,10,0.3,5,6,0.833,0,3,3,4,0,0,4,1,26,15.9,-9
2,2,16-17,28-228,GSW,NOP,W (+8),1,34.04,34:04,8,19,0.421,4,10,0.4,3,4,0.75,1,0,1,8,1,0,4,3,23,14.6,4
3,3,16-17,28-230,GSW,PHO,W (+6),1,34.13,34:13,9,17,0.529,5,8,0.625,5,5,1,0,1,1,3,0,0,1,5,28,19.1,2
4,4,16-17,28-232,GSW,POR,W (+23),1,29.30,29:30,10,21,0.476,5,10,0.5,3,4,0.75,1,3,4,3,1,0,4,3,28,16.4,24
5,5,16-17,28-234,GSW,OKC,W (+26),1,30.03,30:03,6,14,0.429,2,6,0.333,7,8,0.875,0,1,1,7,2,1,1,1,21,19.7,17
6,6,16-17,28-235,GSW,LAL,L (-20),1,31.06,31:06,5,17,0.294,0,10,0,3,3,1,0,8,8,10,2,1,2,3,13,12,-5
7,7,16-17,28-238,GSW,NOP,W (+10),1,35.39,35:39,16,26,0.615,13,17,0.765,1,2,0.5,3,2,5,5,2,0,4,2,46,37.2,9
8,8,16-17,28-240,GSW,DAL,W (+21),1,30.50,30:50,8,12,0.667,4,8,0.5,4,4,1,0,3,3,6,1,0,5,1,24,19.5,16
9,9,16-17,28-241,GSW,DEN,W (+24),1,29.56,29:56,10,17,0.588,7,13,0.538,6,6,1,1,4,5,6,1,0,4,1,33,27.8,27
10,10,16-17,28-244,GSW,PHO,W (+13),1,36.46,36:46,9,17,0.529,5,9,0.556,7,7,1,0,6,6,6,2,0,3,2,30,25.9,22
11,11,16-17,28-247,GSW,TOR,W (+6),1,37.22,37:22,10,19,0.526,3,9,0.333,12,13,0.923,2,1,3,7,1,0,3,3,35,28.7,5
12,12,16-17,28-249,GSW,BOS,W (+16),1,36.18,36:18,7,20,0.35,2,10,0.2,0,0,,0,3,3,8,4,1,2,4,16,12.4,19
