Rk,Player,Season,Age,Tm,Lg,3P%,3PA,TS%,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,eFG%,FT%
26,Nicolas Batum,2009-10,21,POR,NBA,0.409,132,0.646,37,25,918,8.3,16,5.1,8.1,3.2,7.9,2.6,3,1.9,6.5,8.4,2.6,1.4,1.5,1.6,4.9,22.3,0.519,0.625,0.619,0.843
27,Chris Mullin,1996-97,33,GSW,NBA,0.411,202,0.645,79,63,2733,8.4,15.1,6.8,11.3,1.6,3.9,3.5,4.1,1.4,4.6,6.1,6.2,2.5,0.6,3.7,3,21.8,0.553,0.602,0.605,0.864
28,Reggie Miller,1989-90,24,IND,NBA,0.414,362,0.645,82,82,3192,10.2,19.9,7.9,14.3,2.3,5.6,8.4,9.7,1.5,3.1,4.6,4.8,1.7,0.3,3.4,2.7,31.2,0.514,0.552,0.572,0.868
29,Jon Barry,2001-02,32,DET,NBA,0.469,258,0.645,82,6,1985,6.8,14,3.6,7.1,3.3,6.9,2.9,3.1,1.1,5.2,6.3,7.4,2.5,0.5,3,3.6,19.9,0.489,0.508,0.604,0.931
30,Pablo Prigioni,2013-14,36,NYK,NBA,0.464,140,0.642,66,27,1283,3.6,7.9,1,2.1,2.7,5.8,0.5,0.5,1.5,3.9,5.3,9.5,2.8,0.1,2.5,5.5,10.4,0.461,0.451,0.631,0.917
31,John Stockton,1995-96,33,UTA,NBA,0.422,225,0.642,82,82,2915,8.1,15,6.3,10.9,1.7,4.1,4.3,5.2,1,3.1,4.1,16.8,2.6,0.3,4.5,3.8,22.1,0.538,0.582,0.596,0.83
32,Detlef Schrempf,1994-95,32,SEA,NBA,0.514,181,0.641,82,82,2886,9.1,17.4,7.5,14.2,1.6,3.2,7.6,9.1,2.4,6.5,8.8,5.4,1.6,0.6,3.1,4.4,27.4,0.523,0.525,0.569,0.839
33,Steve Nash,2007-08,33,PHO,NBA,0.47,381,0.641,81,81,2780,8.7,17.2,5.5,10.4,3.2,6.8,4,4.4,0.5,4.5,5,16,0.9,0.1,5.3,2,24.5,0.504,0.527,0.597,0.906
34,LeBron James,2012-13,28,MIA,NBA,0.406,254,0.64,76,76,2877,14.1,24.9,12.2,20.2,1.9,4.7,7.4,9.8,1.8,9.4,11.2,10.1,2.4,1.2,4.2,2,37.5,0.565,0.602,0.603,0.753
35,Kevin Durant,2017-18,29,GSW,NBA,0.419,413,0.64,68,68,2325,13.1,25.3,9.5,16.8,3.6,8.6,7.4,8.4,0.6,9,9.6,7.6,1,2.5,4.3,2.8,37.1,0.516,0.565,0.586,0.889
36,Kenny Smith,1994-95,29,HOU,NBA,0.429,331,0.64,81,81,2030,7.2,14.9,3.6,6.6,3.6,8.3,3.2,3.7,0.7,3.2,3.9,8.1,1.8,0.3,3.1,2.7,21.1,0.484,0.553,0.604,0.851
37,Luke Babbitt,2014-15,25,NOP,NBA,0.513,115,0.639,63,19,830,5.8,12.2,2.1,4.9,3.7,7.3,0.8,1.2,0.8,6.3,7,1.5,1.1,0.7,1.6,4,16.2,0.479,0.429,0.633,0.684
38,Stephen Curry,2014-15,26,GSW,NBA,0.443,646,0.638,80,80,2613,12.2,25.1,6.9,13,5.3,12.1,5.8,6.3,1,5.3,6.4,11.6,3,0.3,4.7,3,35.5,0.487,0.528,0.594,0.914
39,Greg Buckner,2004-05,28,DEN,NBA,0.405,121,0.638,70,41,1522,5.4,10.2,3.7,6.1,1.7,4.1,2.1,2.7,2.2,4.8,7,4.5,2.5,0.2,1.7,5.7,14.6,0.528,0.61,0.609,0.778
40,Kyle Korver,2012-13,31,ATL,NBA,0.457,414,0.637,74,60,2259,6.4,13.8,2,4.3,4.3,9.5,1.5,1.8,0.5,6.2,6.7,3.3,1.6,0.8,1.6,3.9,18.6,0.461,0.471,0.618,0.859
41,Reggie Miller,1993-94,28,IND,NBA,0.421,292,0.636,79,79,2638,10.2,20.3,7.8,14.6,2.4,5.7,7.9,8.7,0.6,3.6,4.1,4.8,2.3,0.5,3.4,3.8,30.7,0.503,0.535,0.562,0.908
42,Kyle Korver,2016-17,35,TOT,NBA,0.451,359,0.635,67,22,1753,6.8,14.6,2.2,4.4,4.6,10.2,1.1,1.2,0.2,5.1,5.3,3.1,1,0.6,2,3,19.2,0.464,0.494,0.621,0.905
43,Steve Kerr,1994-95,29,CHI,NBA,0.524,170,0.635,82,0,1839,7.4,14,4.9,9.2,2.5,4.8,1.8,2.3,0.6,2.8,3.4,4.3,1.2,0.1,1.4,3.2,19.1,0.527,0.529,0.617,0.778
44,Joe Harris,2017-18,26,BRK,NBA,0.419,358,0.634,78,14,1975,7.5,15.3,3.8,6.5,3.7,8.8,2.1,2.6,1.3,5.1,6.4,3.1,0.9,0.5,2.2,3.8,20.8,0.491,0.589,0.612,0.827
45,Troy Daniels,2015-16,24,CHO,NBA,0.484,122,0.634,43,0,476,9.4,19.7,3.2,6.9,6.2,12.9,0.5,0.9,0.7,5.3,6,2.2,1.2,0.3,2.5,4.2,25.5,0.476,0.462,0.634,0.556
46,Hubert Davis,1995-96,25,NYK,NBA,0.476,267,0.633,74,14,1773,8.2,16.8,4.4,8.9,3.8,7.9,3.3,3.8,1,2.6,3.7,3.1,0.9,0.2,1.9,3.6,23.5,0.486,0.495,0.598,0.868
47,Kenny Smith,1992-93,27,HOU,NBA,0.438,219,0.633,82,82,2422,8.1,15.6,6.1,11,2,4.6,4.1,4.7,0.6,2.8,3.4,9.4,1.7,0.1,3.4,2.3,22.4,0.52,0.554,0.585,0.878
